Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
20100405,SFN,NL,1,HOU,NL,1,5,2,54,HOU03,43836,32,10,1,0,1,5,2,1,0,2,0,6,0,0,2,0,5,4,2,2,0,0,27,11,0,0,0,0,36,9,2,0,0,2,0,0,0,0,0,9,0,0,0,0,7,4,5,5,0,0,27,14,0,0,2,0,linct001,oswar001,wilsb001,linct001,oswar001,,0.37037037037037035,0.25,0.34285714285714286,0.25,0.4375,0.3055555555555556,0.7803571428571429,0.5555555555555556,0.0
20100406,SFN,NL,2,HOU,NL,2,3,0,54,HOU03,24237,31,8,0,0,0,3,1,1,0,4,0,6,0,0,3,0,7,5,0,0,0,0,27,8,0,0,0,0,31,4,2,0,0,0,0,0,1,2,0,7,0,0,0,0,7,4,3,3,0,0,27,14,1,0,3,0,zitob001,rodrw002,wilsb001,zitob001,rodrw002,,0.32,0.14285714285714285,0.3333333333333333,0.20588235294117646,0.25806451612903225,0.1935483870967742,0.5913978494623655,0.39943074003795065,0.0
20100407,SFN,NL,3,HOU,NL,3,10,4,54,HOU03,21599,43,19,3,1,2,8,2,0,0,4,0,3,0,0,2,0,12,3,3,3,0,0,27,13,1,0,0,0,35,7,2,1,0,4,0,0,0,0,0,6,0,0,0,0,4,6,9,9,1,0,27,12,1,0,2,0,affej001,gervs001,,cainm001,myerb001,,0.5135135135135135,0.2,0.48936170212765956,0.2,0.6976744186046512,0.3142857142857143,1.1870361207323108,0.5142857142857142,0.0
20100409,PHI,NL,4,HOU,NL,4,8,0,54,HOU03,27288,41,16,6,0,1,8,0,0,0,5,0,6,0,0,2,0,11,4,0,0,1,0,27,10,1,0,1,0,35,8,1,0,0,0,0,0,0,2,0,10,0,0,1,0,10,5,8,8,0,0,27,8,0,0,2,0,happj001,norrb001,,happj001,norrb001,,0.4444444444444444,0.24242424242424243,0.45652173913043476,0.2702702702702703,0.6097560975609756,0.2571428571428571,1.0662778366914103,0.5274131274131274,0.0
20100410,PHI,NL,5,HOU,NL,5,9,6,54,HOU03,35138,36,11,1,1,2,9,1,1,0,6,0,8,1,0,0,0,8,4,6,6,0,0,27,11,0,0,0,0,38,11,2,0,2,6,0,0,0,1,0,3,0,0,0,0,6,5,9,9,0,1,27,10,1,0,0,0,moyej001,lyonb003,,moyej001,paulf001,,0.39285714285714285,0.2972972972972973,0.3953488372093023,0.3076923076923077,0.5555555555555556,0.5,0.9509043927648579,0.8076923076923077,0.0
20100411,PHI,NL,6,HOU,NL,6,2,1,54,HOU03,28619,32,6,2,0,1,2,0,0,0,2,0,10,1,0,0,0,5,1,0,0,0,0,27,11,1,0,2,0,32,7,0,0,0,0,1,0,0,0,0,8,0,1,1,0,5,4,2,2,0,0,27,6,0,0,1,0,hallr001,oswar001,,hallr001,oswar001,,0.2,0.22580645161290322,0.23529411764705882,0.21875,0.34375,0.21875,0.5790441176470589,0.4375,0.0
20100412,HOU,NL,7,SLN,NL,7,0,5,51,STL10,46918,31,7,0,0,0,0,0,0,0,1,0,7,1,0,2,0,5,4,5,5,0,0,24,19,2,0,2,0,32,11,2,1,1,5,0,0,0,4,0,2,0,1,2,0,7,2,0,0,0,0,27,13,0,0,2,0,waina001,rodrw002,,rodrw002,waina001,,0.23333333333333334,0.39285714285714285,0.25,0.4166666666666667,0.22580645161290322,0.5625,0.47580645161290325,0.9791666666666667,0.0
20100414,HOU,NL,8,SLN,NL,8,1,2,51,STL10,35883,28,4,1,0,0,1,1,1,0,2,0,4,0,0,1,0,4,3,1,1,0,0,24,7,2,0,1,0,29,5,0,0,0,1,1,0,0,2,0,7,0,0,1,0,6,4,0,0,0,0,27,13,2,0,1,0,pennb002,myerb001,franr001,myerb001,pennb002,,0.16666666666666666,0.19230769230769232,0.1935483870967742,0.22580645161290322,0.17857142857142858,0.1724137931034483,0.37211981566820274,0.39822024471635153,0.0
20100415,HOU,NL,9,SLN,NL,9,5,1,54,STL10,35371,34,9,3,0,0,5,0,0,0,0,0,2,0,1,1,0,2,4,0,0,0,0,27,7,1,0,1,0,33,6,3,0,0,1,0,0,0,3,0,12,0,0,1,0,8,3,5,5,0,0,27,16,0,0,1,0,norrb001,lohsk001,,norrb001,lohsk001,,0.2647058823529412,0.2,0.2647058823529412,0.25,0.35294117647058826,0.2727272727272727,0.6176470588235294,0.5227272727272727,1.0
20100416,HOU,NL,10,CHN,NL,10,2,7,51,CHI11,37291,32,6,0,1,0,2,1,0,1,0,0,8,0,0,1,0,5,4,7,7,0,0,24,12,0,0,2,0,32,11,4,1,1,7,0,1,0,3,0,4,1,0,2,0,5,3,0,0,0,0,27,9,1,0,1,0,silvc001,paulf001,,paulf001,silvc001,,0.2,0.39285714285714285,0.21212121212121213,0.3888888888888889,0.25,0.625,0.46212121212121215,1.0138888888888888,0.0
